Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Thailand,THA,3433.8,4270,4812.3,5527.5,5940,6811.2,7336.1,7768.1,7917.3,8476.1,8675.4,9581.5
Tajikistan,TJK,30.8,26.3,32.5,30,23.3,40.6,42.8,47.5,62,37.8,54,47.5
Turkmenistan,TKM,3.2,3.1,4.9,2.6,5,5.3,12.2,13.3,6.9,20.1,6,3.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,41485.68783,50554.53819,54499.90361,62337.24926,67048.60995,71931,76533.5,83702.3,86971.7,93286.7,93349.2,94826.2
Timor-Leste,TLS,1.5,3.5,3.3,1.3,2.6,1.1,3.1,6,6.3,10.6,7.8,8.3
Middle East & North Africa (IDA & IBRD countries),TMN,16006,20392.5,24791.2,30144.1,36472.9,42659,50655.6,53886.7,57235.6,61331,63103.9,70360.9
Tonga,TON,0.7,2.7,2.3,0.5,2.9,1.4,1.9,1.8,1.3,1,2.7,1.8
South Asia (IDA & IBRD),TSA,36783.7,42850.1,48806.8,54780.4,61743.5,70899.2,84346.8,92449.7,100329.6,112303.2,118526.9,123754
Sub-Saharan Africa (IDA & IBRD countries),TSS,9975.076381,11260.76009,12228.46269,12898.9964,14668.31612,16226.04385,17871.32307,19014.97814,20853.17903,23597.47896,23073.72171,24197.34451
Trinidad and Tobago,TTO,168.1,137.6,168.5,165.8,210.4,207.5,236.8,211.3,167,221.5,147.2,185.2
Tunisia,TUN,1701.4,1980.2,2345.8,2790.6,3277.7,3552.9,3824.9,3924.2,4387.6,4697.4,5025.9,5265.6
Turkey,TUR,17840.9,19546.7,21523,21735,24447,25584,26808.3,28500.5,31146.9,31673.7,33113,33902.2
Tuvalu,TUV,0,1.3,0.4,0.3,0.3,1,0,0,0.3,1.1,1.1,0.4
Tanzania,TZA,210.6,266.6,287.6,281.3,302.6,368.7,415.3,396.4,407.7,548,547,539.2
Uganda,UGA,215.1,208.4,272.6,250.6,306,400.9,432.6,464,496,536.7,607.2,572.9
Ukraine,UKR,5920.7,5296.3,5488.6,5906.6,5653.3,6073.7,6399.5,6715.9,7449.9,7417.1,7454.8,7374.7
Upper middle income,UMC,281386.5742,318388.7226,358367.7816,411020.0804,469712.1625,514583.6377,551030.9311,562580.1168,607685.9326,654567.7691,684124.1857,713399.0954
Uruguay,URY,351.4,358.9,382.7,446.1,487.6,522.6,598.6,596.2,600.3,761.6,696.3,809
United States,USA,379701.3,383114.9,389451.8,391933.4,398871.1,409853.3,424938,432311.5,435212,440229.7,429139,408985.3
Uzbekistan,UZB,322.6,291.4,346.9,300.5,336.3,388.9,379.2,325.3,353,332.2,287.8,357.4
St. Vincent and the Grenadines,VCT,1.3,0.7,1.5,0,1.1,0.5,0.1,1.4,2.2,0.7,0.8,2.3
"Venezuela, RB",VEN,1266.1,1343.2,1419.5,1656,1672,1499.2,1293.6,1390.3,1242.8,1248,1025.2,854.9
British Virgin Islands,VGB,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,
Vietnam,VNM,396.3,446.2,513.7,775.9,864.3,1096.5,1215.6,1567.1,1858.4,2003.9,2292.1,2961.3
Vanuatu,VUT,6.8,5,2.6,4.4,5.6,6.3,7.9,6.4,7.3,9.7,10.9,13.5
World,WLD,1477412.908,1563235.315,1655917.081,1747433.666,1859200.854,1954923.589,2063336.567,2129133.916,2210064.962,2299992.164,2306637.397,2296271.346
Samoa,WSM,5.1,9.9,4.1,2.6,5.4,6.1,6.1,2.5,4.5,7.5,8.2,5.3
Kosovo,XKX,0,0,0,52.1,95,120,106.5,116.6,127.6,125.6,133.3,189
"Yemen, Rep.",YEM,45.3,53.9,45,58,81.1,99.9,109.8,112.1,129.9,148.1,106.1,111.2
South Africa,ZAF,5146.4,5636.5,5907.4,6403.7,7062.6,7651.6,8533,9341.5,10251,11991.5,11417.8,11881.2
Zambia,ZMB,60.8,69.2,66.9,93.5,75.6,89.2,104.3,110.3,120.8,139.2,154.3,179.3
Zimbabwe,ZWE,129,163.9,168.7,122,110.4,154.8,151.1,197.7,223.2,295.4,268.4,298
